,fuzzer,coverage,time,rank,micro_benchmark
0,libfuzzer,815,660,1,sqlite3_ossfuzz-IDX2
1,aflplusplus,25,120,2,sqlite3_ossfuzz-IDX2
2,aflplusplus,102,60,1,libjpeg-turbo-07-2017-IDX44
3,libfuzzer,98,420,2,libjpeg-turbo-07-2017-IDX44
4,aflplusplus,84,900,1,libjpeg-turbo-07-2017-IDX10
5,libfuzzer,47,60,2,libjpeg-turbo-07-2017-IDX10
6,aflplusplus,12,60,1,libjpeg-turbo-07-2017-IDX9
7,libfuzzer,11,60,2,libjpeg-turbo-07-2017-IDX9
8,aflplusplus,37,60,1,libjpeg-turbo-07-2017-IDX3
9,libfuzzer,0,900,2,libjpeg-turbo-07-2017-IDX3
10,libfuzzer,8,60,1,libjpeg-turbo-07-2017-IDX19
11,aflplusplus,8,420,2,libjpeg-turbo-07-2017-IDX19
12,aflplusplus,349,60,1,libjpeg-turbo-07-2017-IDX53
13,libfuzzer,13,60,2,libjpeg-turbo-07-2017-IDX53
14,aflplusplus,302,120,1,libjpeg-turbo-07-2017-IDX61
15,libfuzzer,10,60,2,libjpeg-turbo-07-2017-IDX61
16,libfuzzer,13,60,1,sqlite3_ossfuzz-IDX50
17,aflplusplus,13,60,1,sqlite3_ossfuzz-IDX50
18,aflplusplus,22,60,1,libjpeg-turbo-07-2017-IDX45
19,libfuzzer,0,900,2,libjpeg-turbo-07-2017-IDX45
20,libfuzzer,1543,480,1,sqlite3_ossfuzz-IDX82
21,aflplusplus,57,300,2,sqlite3_ossfuzz-IDX82
22,aflplusplus,85,780,1,libjpeg-turbo-07-2017-IDX79
23,libfuzzer,0,900,2,libjpeg-turbo-07-2017-IDX79
24,libfuzzer,301,600,1,sqlite3_ossfuzz-IDX9
25,aflplusplus,274,60,2,sqlite3_ossfuzz-IDX9
26,libfuzzer,1964,60,1,sqlite3_ossfuzz-IDX92
27,aflplusplus,1591,120,2,sqlite3_ossfuzz-IDX92
28,aflplusplus,17,60,1,libjpeg-turbo-07-2017-IDX88
29,libfuzzer,15,60,2,libjpeg-turbo-07-2017-IDX88
30,aflplusplus,3,60,1,bloaty_fuzz_target-IDX72
31,libfuzzer,3,480,2,bloaty_fuzz_target-IDX72
32,aflplusplus,240,360,1,bloaty_fuzz_target-IDX17
33,libfuzzer,193,60,2,bloaty_fuzz_target-IDX17
34,aflplusplus,12,60,1,bloaty_fuzz_target-IDX43
35,libfuzzer,0,900,2,bloaty_fuzz_target-IDX43
36,aflplusplus,75,60,1,bloaty_fuzz_target-IDX90
37,libfuzzer,0,900,2,bloaty_fuzz_target-IDX90
38,aflplusplus,33,120,1,bloaty_fuzz_target-IDX83
39,libfuzzer,32,300,2,bloaty_fuzz_target-IDX83
40,aflplusplus,291,60,1,bloaty_fuzz_target-IDX88
41,libfuzzer,281,60,2,bloaty_fuzz_target-IDX88
42,libfuzzer,20,900,1,bloaty_fuzz_target-IDX93
43,aflplusplus,0,900,2,bloaty_fuzz_target-IDX93
44,aflplusplus,213,60,1,bloaty_fuzz_target-IDX63
45,libfuzzer,13,660,2,bloaty_fuzz_target-IDX63
46,libfuzzer,14,60,1,bloaty_fuzz_target-IDX48
47,aflplusplus,14,60,1,bloaty_fuzz_target-IDX48
48,libfuzzer,154,840,1,bloaty_fuzz_target-IDX8
49,aflplusplus,144,60,2,bloaty_fuzz_target-IDX8
50,aflplusplus,5,60,1,bloaty_fuzz_target-IDX91
51,libfuzzer,0,900,2,bloaty_fuzz_target-IDX91
52,libfuzzer,145,420,1,bloaty_fuzz_target-IDX49
53,aflplusplus,0,900,2,bloaty_fuzz_target-IDX49
54,aflplusplus,152,600,1,libjpeg-turbo-07-2017-IDX72
55,libfuzzer,0,900,2,libjpeg-turbo-07-2017-IDX72
56,aflplusplus,519,120,1,sqlite3_ossfuzz-IDX86
57,libfuzzer,426,120,2,sqlite3_ossfuzz-IDX86
58,libfuzzer,60,420,1,sqlite3_ossfuzz-IDX93
59,aflplusplus,50,60,2,sqlite3_ossfuzz-IDX93
60,aflplusplus,80,120,1,sqlite3_ossfuzz-IDX35
61,libfuzzer,78,60,2,sqlite3_ossfuzz-IDX35
62,aflplusplus,304,120,1,libjpeg-turbo-07-2017-IDX50
63,libfuzzer,194,900,2,libjpeg-turbo-07-2017-IDX50
64,aflplusplus,73,60,1,libjpeg-turbo-07-2017-IDX99
65,libfuzzer,48,180,2,libjpeg-turbo-07-2017-IDX99
66,aflplusplus,41,120,1,sqlite3_ossfuzz-IDX65
67,libfuzzer,24,180,2,sqlite3_ossfuzz-IDX65
68,aflplusplus,45,120,1,libjpeg-turbo-07-2017-IDX17
69,libfuzzer,27,840,2,libjpeg-turbo-07-2017-IDX17
70,libfuzzer,89,60,1,sqlite3_ossfuzz-IDX74
71,aflplusplus,89,120,2,sqlite3_ossfuzz-IDX74
