micro_benchmark,afl,aflplusplus,eclipser,entropic,honggfuzz,libfuzzer
bloaty_fuzz_target-IDX0,1,1,2,1,1,1
bloaty_fuzz_target-IDX1,2,6,1,4,3,5
bloaty_fuzz_target-IDX10,4,6,2,3,1,5
bloaty_fuzz_target-IDX11,2,5,4,3,1,6
bloaty_fuzz_target-IDX12,6,4,5,1,2,3
bloaty_fuzz_target-IDX13,3,6,4,2,5,1
bloaty_fuzz_target-IDX14,1,4,3,6,2,5
bloaty_fuzz_target-IDX15,4,6,5,2,3,1
bloaty_fuzz_target-IDX16,2,6,4,5,3,1
bloaty_fuzz_target-IDX17,6,5,2,4,1,3
bloaty_fuzz_target-IDX18,4,6,3,1,2,5
bloaty_fuzz_target-IDX19,6,5,4,2,1,3
bloaty_fuzz_target-IDX2,1,1,2,1,1,2
bloaty_fuzz_target-IDX20,4,4,3,2,4,1
bloaty_fuzz_target-IDX21,1,1,5,3,2,4
bloaty_fuzz_target-IDX22,4,4,3,1,4,2
bloaty_fuzz_target-IDX23,5,3,4,2,5,1
bloaty_fuzz_target-IDX24,4,6,5,1,2,3
bloaty_fuzz_target-IDX25,1,5,3,1,2,4
bloaty_fuzz_target-IDX26,5,4,6,1,2,3
bloaty_fuzz_target-IDX27,2,6,3,5,1,4
bloaty_fuzz_target-IDX28,5,6,2,4,1,3
bloaty_fuzz_target-IDX29,2,3,3,1,4,5
bloaty_fuzz_target-IDX3,4,1,3,1,2,1
bloaty_fuzz_target-IDX30,2,4,3,3,1,5
bloaty_fuzz_target-IDX31,2,1,5,4,3,6
bloaty_fuzz_target-IDX32,1,5,4,3,2,6
bloaty_fuzz_target-IDX33,1,1,1,2,1,3
bloaty_fuzz_target-IDX34,2,5,3,4,1,4
bloaty_fuzz_target-IDX35,1,1,1,1,1,2
bloaty_fuzz_target-IDX36,2,6,5,4,1,3
bloaty_fuzz_target-IDX37,2,5,3,4,1,6
bloaty_fuzz_target-IDX38,6,2,5,1,3,4
bloaty_fuzz_target-IDX39,2,6,1,5,4,3
bloaty_fuzz_target-IDX4,2,6,3,4,1,5
bloaty_fuzz_target-IDX40,1,1,1,1,1,1
bloaty_fuzz_target-IDX41,4,6,2,1,3,5
bloaty_fuzz_target-IDX42,3,5,4,1,2,1
bloaty_fuzz_target-IDX43,6,5,4,1,2,3
bloaty_fuzz_target-IDX44,1,1,1,1,1,1
bloaty_fuzz_target-IDX46,1,5,2,3,4,6
bloaty_fuzz_target-IDX47,5,6,4,2,1,3
bloaty_fuzz_target-IDX48,1,5,3,4,2,6
bloaty_fuzz_target-IDX49,2,6,5,1,4,3
bloaty_fuzz_target-IDX5,4,5,6,3,1,2
bloaty_fuzz_target-IDX50,4,5,2,1,3,6
bloaty_fuzz_target-IDX51,6,5,4,3,1,2
bloaty_fuzz_target-IDX52,1,4,2,3,1,5
bloaty_fuzz_target-IDX53,2,4,1,6,3,5
bloaty_fuzz_target-IDX54,2,6,5,3,1,4
bloaty_fuzz_target-IDX55,2,5,3,4,1,6
bloaty_fuzz_target-IDX56,1,1,1,3,2,4
bloaty_fuzz_target-IDX57,3,1,4,1,2,2
bloaty_fuzz_target-IDX58,1,1,1,1,1,1
bloaty_fuzz_target-IDX59,2,4,1,6,5,3
bloaty_fuzz_target-IDX6,6,1,3,5,2,4
bloaty_fuzz_target-IDX60,1,1,2,3,1,1
bloaty_fuzz_target-IDX61,4,6,3,2,1,5
bloaty_fuzz_target-IDX62,4,5,1,2,4,3
bloaty_fuzz_target-IDX64,2,5,1,3,1,4
bloaty_fuzz_target-IDX65,4,6,3,5,1,2
bloaty_fuzz_target-IDX66,6,2,5,3,1,4
bloaty_fuzz_target-IDX67,1,3,4,6,5,2
bloaty_fuzz_target-IDX68,5,6,3,2,1,4
bloaty_fuzz_target-IDX69,3,6,2,4,1,5
bloaty_fuzz_target-IDX7,2,3,1,5,4,6
bloaty_fuzz_target-IDX70,1,1,1,1,1,1
bloaty_fuzz_target-IDX71,1,5,4,6,2,3
bloaty_fuzz_target-IDX72,4,6,5,1,2,3
bloaty_fuzz_target-IDX73,3,5,2,6,4,1
bloaty_fuzz_target-IDX74,2,6,1,4,3,5
bloaty_fuzz_target-IDX75,1,5,2,4,3,6
bloaty_fuzz_target-IDX76,2,6,4,5,1,3
bloaty_fuzz_target-IDX77,1,6,5,3,2,4
bloaty_fuzz_target-IDX78,4,1,6,3,2,5
bloaty_fuzz_target-IDX79,4,6,5,2,3,1
bloaty_fuzz_target-IDX8,4,6,2,3,1,5
bloaty_fuzz_target-IDX80,4,4,3,1,4,2
bloaty_fuzz_target-IDX81,3,5,6,2,1,4
bloaty_fuzz_target-IDX82,4,5,2,1,3,6
bloaty_fuzz_target-IDX83,1,5,2,6,3,4
bloaty_fuzz_target-IDX84,5,6,4,3,2,1
bloaty_fuzz_target-IDX85,1,1,1,1,1,1
bloaty_fuzz_target-IDX86,5,6,2,3,1,4
bloaty_fuzz_target-IDX87,5,1,4,2,3,6
bloaty_fuzz_target-IDX88,1,6,2,3,4,5
bloaty_fuzz_target-IDX89,1,6,3,4,2,5
bloaty_fuzz_target-IDX90,1,6,5,2,4,3
bloaty_fuzz_target-IDX91,2,3,1,5,4,6
bloaty_fuzz_target-IDX92,3,6,5,1,2,4
bloaty_fuzz_target-IDX93,6,5,1,4,3,2
bloaty_fuzz_target-IDX94,3,4,5,2,1,6
bloaty_fuzz_target-IDX95,4,6,3,2,1,5
bloaty_fuzz_target-IDX96,1,4,2,6,3,5
bloaty_fuzz_target-IDX97,1,1,1,3,1,2
bloaty_fuzz_target-IDX98,4,3,5,2,1,6
bloaty_fuzz_target-IDX99,1,5,6,4,2,3
curl_curl_fuzzer_http-IDX0,6,3,2,4,1,5
curl_curl_fuzzer_http-IDX1,6,4,5,2,3,1
curl_curl_fuzzer_http-IDX10,5,1,3,6,2,4
curl_curl_fuzzer_http-IDX11,5,1,4,2,3,6
curl_curl_fuzzer_http-IDX12,4,1,3,2,1,2
curl_curl_fuzzer_http-IDX13,3,2,3,4,1,3
curl_curl_fuzzer_http-IDX14,3,2,4,5,1,6
curl_curl_fuzzer_http-IDX15,1,2,5,3,1,4
curl_curl_fuzzer_http-IDX16,4,1,3,5,2,6
curl_curl_fuzzer_http-IDX17,4,2,5,3,1,6
curl_curl_fuzzer_http-IDX18,5,4,2,1,6,3
curl_curl_fuzzer_http-IDX19,2,1,5,6,3,4
curl_curl_fuzzer_http-IDX2,3,1,5,3,2,4
curl_curl_fuzzer_http-IDX20,2,4,5,3,1,4
curl_curl_fuzzer_http-IDX21,5,4,6,2,3,1
curl_curl_fuzzer_http-IDX22,5,3,1,2,4,6
curl_curl_fuzzer_http-IDX23,1,2,3,6,4,5
curl_curl_fuzzer_http-IDX24,4,6,3,2,1,5
curl_curl_fuzzer_http-IDX25,1,1,1,1,2,1
curl_curl_fuzzer_http-IDX26,3,5,4,2,1,6
curl_curl_fuzzer_http-IDX27,1,6,2,3,4,5
curl_curl_fuzzer_http-IDX28,5,2,6,4,1,3
curl_curl_fuzzer_http-IDX29,2,1,5,4,3,6
curl_curl_fuzzer_http-IDX3,5,4,2,1,4,3
curl_curl_fuzzer_http-IDX30,1,5,2,3,5,4
curl_curl_fuzzer_http-IDX31,2,2,2,4,1,3
curl_curl_fuzzer_http-IDX32,1,2,1,3,1,3
curl_curl_fuzzer_http-IDX34,1,3,2,4,5,6
curl_curl_fuzzer_http-IDX35,5,1,4,3,2,6
