,fuzzer,coverage,time,rank,micro_benchmark
0,libfuzzer,29,300,1,lcms-2017-03-21-IDX19
1,honggfuzz,28,900,2,lcms-2017-03-21-IDX19
2,eclipser,27,120,3,lcms-2017-03-21-IDX19
3,aflplusplus,27,180,4,lcms-2017-03-21-IDX19
4,afl,27,300,5,lcms-2017-03-21-IDX19
5,entropic,25,780,6,lcms-2017-03-21-IDX19
6,honggfuzz,15,240,1,systemd_fuzz-link-parser-IDX62
7,aflplusplus,11,60,2,systemd_fuzz-link-parser-IDX62
8,entropic,11,60,2,systemd_fuzz-link-parser-IDX62
9,libfuzzer,11,60,2,systemd_fuzz-link-parser-IDX62
10,afl,11,60,2,systemd_fuzz-link-parser-IDX62
11,eclipser,11,60,2,systemd_fuzz-link-parser-IDX62
12,afl,137,720,1,mbedtls_fuzz_dtlsclient-IDX39
13,eclipser,137,900,2,mbedtls_fuzz_dtlsclient-IDX39
14,aflplusplus,136,120,3,mbedtls_fuzz_dtlsclient-IDX39
15,honggfuzz,102,600,4,mbedtls_fuzz_dtlsclient-IDX39
16,libfuzzer,52,540,5,mbedtls_fuzz_dtlsclient-IDX39
17,entropic,10,120,6,mbedtls_fuzz_dtlsclient-IDX39
18,libfuzzer,243,120,1,openthread-2019-12-23-IDX80
19,entropic,243,120,1,openthread-2019-12-23-IDX80
20,aflplusplus,243,180,2,openthread-2019-12-23-IDX80
21,afl,243,240,3,openthread-2019-12-23-IDX80
22,eclipser,243,300,4,openthread-2019-12-23-IDX80
23,honggfuzz,243,840,5,openthread-2019-12-23-IDX80
24,honggfuzz,45,780,1,libpng-1.2.56-IDX50
25,aflplusplus,44,300,2,libpng-1.2.56-IDX50
26,entropic,44,660,3,libpng-1.2.56-IDX50
27,eclipser,44,840,4,libpng-1.2.56-IDX50
28,afl,43,180,5,libpng-1.2.56-IDX50
29,libfuzzer,43,180,5,libpng-1.2.56-IDX50
30,afl,64,60,1,re2-2014-12-09-IDX68
31,eclipser,64,60,1,re2-2014-12-09-IDX68
32,honggfuzz,64,60,1,re2-2014-12-09-IDX68
33,entropic,64,60,1,re2-2014-12-09-IDX68
34,libfuzzer,64,60,1,re2-2014-12-09-IDX68
35,aflplusplus,64,60,1,re2-2014-12-09-IDX68
36,eclipser,23,60,1,sqlite3_ossfuzz-IDX32
37,entropic,23,60,1,sqlite3_ossfuzz-IDX32
38,libfuzzer,23,60,1,sqlite3_ossfuzz-IDX32
39,honggfuzz,23,60,1,sqlite3_ossfuzz-IDX32
40,afl,23,60,1,sqlite3_ossfuzz-IDX32
41,aflplusplus,23,120,2,sqlite3_ossfuzz-IDX32
42,aflplusplus,13,60,1,lcms-2017-03-21-IDX18
43,afl,13,60,1,lcms-2017-03-21-IDX18
44,honggfuzz,13,60,1,lcms-2017-03-21-IDX18
45,eclipser,13,60,1,lcms-2017-03-21-IDX18
46,libfuzzer,13,420,2,lcms-2017-03-21-IDX18
47,entropic,13,480,3,lcms-2017-03-21-IDX18
48,aflplusplus,335,780,1,vorbis-2017-12-11-IDX20
49,honggfuzz,284,900,2,vorbis-2017-12-11-IDX20
50,libfuzzer,197,900,3,vorbis-2017-12-11-IDX20
51,afl,111,660,4,vorbis-2017-12-11-IDX20
52,entropic,35,120,5,vorbis-2017-12-11-IDX20
53,eclipser,35,180,6,vorbis-2017-12-11-IDX20
54,entropic,152,60,1,openthread-2019-12-23-IDX68
55,afl,152,60,1,openthread-2019-12-23-IDX68
56,aflplusplus,152,60,1,openthread-2019-12-23-IDX68
57,honggfuzz,152,60,1,openthread-2019-12-23-IDX68
58,libfuzzer,152,60,1,openthread-2019-12-23-IDX68
59,eclipser,152,60,1,openthread-2019-12-23-IDX68
60,afl,15,240,1,mbedtls_fuzz_dtlsclient-IDX78
61,eclipser,15,840,2,mbedtls_fuzz_dtlsclient-IDX78
62,aflplusplus,14,60,3,mbedtls_fuzz_dtlsclient-IDX78
63,honggfuzz,13,420,4,mbedtls_fuzz_dtlsclient-IDX78
64,entropic,11,120,5,mbedtls_fuzz_dtlsclient-IDX78
65,libfuzzer,11,360,6,mbedtls_fuzz_dtlsclient-IDX78
66,libfuzzer,235,60,1,openthread-2019-12-23-IDX6
67,entropic,235,120,2,openthread-2019-12-23-IDX6
68,eclipser,234,60,3,openthread-2019-12-23-IDX6
69,afl,234,60,3,openthread-2019-12-23-IDX6
70,aflplusplus,234,60,3,openthread-2019-12-23-IDX6
71,honggfuzz,234,60,3,openthread-2019-12-23-IDX6
