,fuzzer,covered_targets,time,target,covered_edges,rank,micro_benchmark
0,libfuzzer,29,300,81,1077,1,lcms-2017-03-21-IDX19
1,honggfuzz,28,900,81,1297,2,lcms-2017-03-21-IDX19
2,eclipser,27,120,81,1190,3,lcms-2017-03-21-IDX19
3,aflplusplus,27,180,81,1383,4,lcms-2017-03-21-IDX19
4,afl,27,300,81,1044,5,lcms-2017-03-21-IDX19
5,entropic,25,780,81,1100,6,lcms-2017-03-21-IDX19
6,honggfuzz,15,240,31,146,1,systemd_fuzz-link-parser-IDX62
7,eclipser,11,60,31,141,2,systemd_fuzz-link-parser-IDX62
8,afl,11,60,31,138,3,systemd_fuzz-link-parser-IDX62
9,entropic,11,60,31,135,4,systemd_fuzz-link-parser-IDX62
10,libfuzzer,11,60,31,135,4,systemd_fuzz-link-parser-IDX62
11,aflplusplus,11,60,31,133,5,systemd_fuzz-link-parser-IDX62
12,afl,137,720,137,2285,1,mbedtls_fuzz_dtlsclient-IDX39
13,eclipser,137,900,137,2284,2,mbedtls_fuzz_dtlsclient-IDX39
14,aflplusplus,136,120,137,1813,3,mbedtls_fuzz_dtlsclient-IDX39
15,honggfuzz,102,600,137,1591,4,mbedtls_fuzz_dtlsclient-IDX39
16,libfuzzer,52,540,137,1517,5,mbedtls_fuzz_dtlsclient-IDX39
17,entropic,10,120,137,1432,6,mbedtls_fuzz_dtlsclient-IDX39
18,libfuzzer,243,120,243,1988,1,openthread-2019-12-23-IDX80
19,entropic,243,120,243,1980,2,openthread-2019-12-23-IDX80
20,aflplusplus,243,180,243,1886,3,openthread-2019-12-23-IDX80
21,afl,243,240,243,1833,4,openthread-2019-12-23-IDX80
22,eclipser,243,300,243,1811,5,openthread-2019-12-23-IDX80
23,honggfuzz,243,840,243,1839,6,openthread-2019-12-23-IDX80
24,honggfuzz,45,780,55,981,1,libpng-1.2.56-IDX50
25,aflplusplus,44,300,55,1012,2,libpng-1.2.56-IDX50
26,entropic,44,660,55,1008,3,libpng-1.2.56-IDX50
27,eclipser,44,840,55,951,4,libpng-1.2.56-IDX50
28,afl,43,180,55,936,5,libpng-1.2.56-IDX50
29,libfuzzer,43,180,55,929,6,libpng-1.2.56-IDX50
30,afl,64,60,64,2348,1,re2-2014-12-09-IDX68
31,libfuzzer,64,60,64,2324,2,re2-2014-12-09-IDX68
32,honggfuzz,64,60,64,2318,3,re2-2014-12-09-IDX68
33,aflplusplus,64,60,64,2253,4,re2-2014-12-09-IDX68
34,entropic,64,60,64,2202,5,re2-2014-12-09-IDX68
35,eclipser,64,60,64,2147,6,re2-2014-12-09-IDX68
36,honggfuzz,23,60,23,8192,1,sqlite3_ossfuzz-IDX32
37,afl,23,60,23,8075,2,sqlite3_ossfuzz-IDX32
38,libfuzzer,23,60,23,8049,3,sqlite3_ossfuzz-IDX32
39,entropic,23,60,23,7794,4,sqlite3_ossfuzz-IDX32
40,eclipser,23,60,23,7705,5,sqlite3_ossfuzz-IDX32
41,aflplusplus,23,120,23,8126,6,sqlite3_ossfuzz-IDX32
42,aflplusplus,13,60,13,640,1,lcms-2017-03-21-IDX18
43,honggfuzz,13,60,13,576,2,lcms-2017-03-21-IDX18
44,afl,13,60,13,563,3,lcms-2017-03-21-IDX18
45,eclipser,13,60,13,527,4,lcms-2017-03-21-IDX18
46,libfuzzer,13,420,13,600,5,lcms-2017-03-21-IDX18
47,entropic,13,480,13,602,6,lcms-2017-03-21-IDX18
48,aflplusplus,335,780,672,736,1,vorbis-2017-12-11-IDX20
49,honggfuzz,284,900,672,669,2,vorbis-2017-12-11-IDX20
50,libfuzzer,197,900,672,553,3,vorbis-2017-12-11-IDX20
51,afl,111,660,672,431,4,vorbis-2017-12-11-IDX20
52,entropic,35,120,672,299,5,vorbis-2017-12-11-IDX20
53,eclipser,35,180,672,294,6,vorbis-2017-12-11-IDX20
54,entropic,152,60,152,1930,1,openthread-2019-12-23-IDX68
55,libfuzzer,152,60,152,1879,2,openthread-2019-12-23-IDX68
56,aflplusplus,152,60,152,1872,3,openthread-2019-12-23-IDX68
