,fuzzer,covered_targets,time,target,covered_edges,rank,micro_benchmark
0,honggfuzz,51.96966649968981,69540,87954,320348,1,bloaty_fuzz_target
1,eclipser,49.857107541428086,67380,87954,319119,2,bloaty_fuzz_target
2,afl,49.1036664410608,66060,87954,307006,3,bloaty_fuzz_target
3,entropic,48.27664671799394,65580,87954,311057,4,bloaty_fuzz_target
4,libfuzzer,42.61129644238456,58920,87954,294426,5,bloaty_fuzz_target
5,aflplusplus,37.643642444390544,36420,87954,266102,6,bloaty_fuzz_target
6,aflplusplus,56.400370051865394,58440,121059,577437,1,curl_curl_fuzzer_http
7,afl,48.452508486534164,53340,121059,543636,2,curl_curl_fuzzer_http
8,honggfuzz,48.293455830034986,66060,121059,548910,3,curl_curl_fuzzer_http
9,eclipser,47.35823032794748,53100,121059,537712,4,curl_curl_fuzzer_http
10,entropic,43.5571350344794,54720,121059,521255,5,curl_curl_fuzzer_http
11,libfuzzer,42.20872243107579,49560,121059,510283,6,curl_curl_fuzzer_http
12,honggfuzz,57.037804874502484,71760,121987,481491,1,freetype2-2017
13,aflplusplus,55.65303584046357,76500,121987,415300,2,freetype2-2017
14,eclipser,48.08111579554614,65280,121987,394813,3,freetype2-2017
15,entropic,41.2265137416886,71460,121987,319323,4,freetype2-2017
16,libfuzzer,40.49443726185659,67140,121987,321014,5,freetype2-2017
17,afl,37.13624441613439,52380,121987,301624,6,freetype2-2017
18,aflplusplus,78.85451240197726,74460,79908,496680,1,harfbuzz-1.3.2
19,honggfuzz,75.6379074460794,76740,79908,475240,2,harfbuzz-1.3.2
20,afl,71.84350252264322,53760,79908,492861,3,harfbuzz-1.3.2
21,eclipser,71.80054077572596,62280,79908,494772,4,harfbuzz-1.3.2
22,entropic,65.90684813822942,65100,79908,441458,5,harfbuzz-1.3.2
23,libfuzzer,63.09963363094919,62100,79908,435318,6,harfbuzz-1.3.2
24,entropic,100.0,7080,9196,51319,1,jsoncpp_jsoncpp_fuzzer
25,afl,99.96363636363637,8040,9196,50868,2,jsoncpp_jsoncpp_fuzzer
26,eclipser,99.96363636363637,11100,9196,50746,3,jsoncpp_jsoncpp_fuzzer
27,honggfuzz,99.93479020979021,9240,9196,50782,4,jsoncpp_jsoncpp_fuzzer
28,libfuzzer,99.90850506269176,8700,9196,51069,5,jsoncpp_jsoncpp_fuzzer
29,aflplusplus,99.08652118909993,15540,9196,49991,6,jsoncpp_jsoncpp_fuzzer
30,honggfuzz,54.60241163754198,62400,41809,112231,1,lcms-2017-03-21
31,aflplusplus,51.9047031562514,56640,41809,114404,2,lcms-2017-03-21
32,afl,51.19149036947779,59400,41809,111444,3,lcms-2017-03-21
33,entropic,47.95899920387582,63360,41809,105270,4,lcms-2017-03-21
34,eclipser,46.83836684026,59820,41809,105833,5,lcms-2017-03-21
35,libfuzzer,41.147529746642,60120,41809,98216,6,lcms-2017-03-21
36,aflplusplus,77.70191158075757,36660,35077,153315,1,libjpeg-turbo-07-2017
37,afl,70.52001073737718,40200,35077,143446,2,libjpeg-turbo-07-2017
38,eclipser,68.56102354818661,39600,35077,140431,3,libjpeg-turbo-07-2017
39,entropic,64.22601891416168,63720,35077,135769,4,libjpeg-turbo-07-2017
40,honggfuzz,55.90002292987868,50940,35077,128900,5,libjpeg-turbo-07-2017
41,libfuzzer,47.74854731067106,46140,35077,117020,6,libjpeg-turbo-07-2017
42,aflplusplus,85.81847099535447,49020,46924,200163,1,libpcap_fuzz_both
43,honggfuzz,80.43058073472803,58800,46924,188854,2,libpcap_fuzz_both
44,entropic,78.27071978817719,64080,46924,186547,3,libpcap_fuzz_both
45,libfuzzer,75.21458705388662,58440,46924,182247,4,libpcap_fuzz_both
46,eclipser,75.14537459878694,48720,46924,181099,5,libpcap_fuzz_both
47,afl,74.72589804044156,47040,46924,180841,6,libpcap_fuzz_both
48,aflplusplus,87.18854814747338,25140,16452,90686,1,libpng-1.2.56
49,honggfuzz,79.6512259386886,27960,16452,84568,2,libpng-1.2.56
50,entropic,76.43048466996632,20520,16452,85937,3,libpng-1.2.56
51,eclipser,75.8298242095046,30540,16452,81110,4,libpng-1.2.56
52,afl,75.38601572769372,22260,16452,80960,5,libpng-1.2.56
53,libfuzzer,68.40334768373536,22980,16452,82343,6,libpng-1.2.56
54,honggfuzz,93.64986426760004,59220,85535,640002,1,libxml2-v2.9.2
55,afl,92.8923565278728,67320,85535,608375,2,libxml2-v2.9.2
56,eclipser,91.12080351705025,73380,85535,594725,3,libxml2-v2.9.2
57,aflplusplus,90.86779252878215,65640,85535,566670,4,libxml2-v2.9.2
58,entropic,86.62201456798635,65100,85535,537244,5,libxml2-v2.9.2
59,libfuzzer,82.75004737045177,61260,85535,490771,6,libxml2-v2.9.2
60,aflplusplus,76.5114638175449,51720,68210,633777,1,libxslt_xpath
61,afl,73.11477039171605,45240,68210,609418,2,libxslt_xpath
62,eclipser,72.37818310925218,47100,68210,603862,3,libxslt_xpath
63,libfuzzer,71.83855495693109,34320,68210,605369,4,libxslt_xpath
64,honggfuzz,71.7275189652969,57120,68210,600587,5,libxslt_xpath
65,entropic,71.38592101376122,41340,68210,607736,6,libxslt_xpath
66,aflplusplus,59.86818105908009,51600,22841,194888,1,mbedtls_fuzz_dtlsclient
67,honggfuzz,56.94185223953226,42840,22841,189027,2,mbedtls_fuzz_dtlsclient
68,entropic,53.21645274476449,42960,22841,185894,3,mbedtls_fuzz_dtlsclient
69,afl,50.0220011305182,42900,22841,184978,4,mbedtls_fuzz_dtlsclient
70,eclipser,49.64905928133265,41640,22841,184221,5,mbedtls_fuzz_dtlsclient
71,libfuzzer,43.62053543730593,40080,22841,177670,6,mbedtls_fuzz_dtlsclient
72,aflplusplus,29.4675923845836,55020,98223,245166,1,openssl_x509
73,afl,28.32308026595852,60720,98223,242765,2,openssl_x509
74,entropic,28.20467441167812,64320,98223,242104,3,openssl_x509
75,libfuzzer,26.642271105570313,61080,98223,241570,4,openssl_x509
76,eclipser,25.56223953387345,68400,98223,238427,5,openssl_x509
77,honggfuzz,23.45808226981407,63660,98223,233192,6,openssl_x509
78,entropic,73.08863342339225,41880,28484,206962,1,openthread-2019-12-23
79,libfuzzer,72.91119157669843,33420,28484,207117,2,openthread-2019-12-23
80,aflplusplus,72.0333410641595,36240,28484,206975,3,openthread-2019-12-23
81,afl,68.68687136856497,38820,28484,197027,4,openthread-2019-12-23
82,eclipser,67.26265938967529,40200,28484,195751,5,openthread-2019-12-23
