,fuzzer,covered_targets,time,target,covered_edges,trial_id,rank,micro_benchmark
0,honggfuzz,352,840,381,4587,1,1,bloaty_fuzz_target-IDX0
1,eclipser,325,780,381,4507,9901,2,bloaty_fuzz_target-IDX0
2,afl,324,900,381,4420,4001,3,bloaty_fuzz_target-IDX0
3,libfuzzer,281,780,381,4207,7901,4,bloaty_fuzz_target-IDX0
4,entropic,269,900,381,4324,6001,5,bloaty_fuzz_target-IDX0
5,aflplusplus,213,540,381,3664,2001,6,bloaty_fuzz_target-IDX0
6,honggfuzz,296,840,1893,1677,2,1,bloaty_fuzz_target-IDX1
7,afl,290,840,1893,1422,4002,2,bloaty_fuzz_target-IDX1
8,eclipser,263,660,1893,1581,9902,3,bloaty_fuzz_target-IDX1
9,entropic,259,660,1893,1568,6002,4,bloaty_fuzz_target-IDX1
10,libfuzzer,254,720,1893,1544,7902,5,bloaty_fuzz_target-IDX1
11,aflplusplus,168,420,1893,1306,2002,6,bloaty_fuzz_target-IDX1
12,afl,447,720,621,4125,4003,1,bloaty_fuzz_target-IDX2
13,honggfuzz,268,840,621,4323,3,2,bloaty_fuzz_target-IDX2
14,libfuzzer,261,840,621,4023,7903,3,bloaty_fuzz_target-IDX2
15,entropic,214,840,621,3951,6003,4,bloaty_fuzz_target-IDX2
16,eclipser,206,600,621,3579,9903,5,bloaty_fuzz_target-IDX2
17,aflplusplus,158,60,621,3266,2003,6,bloaty_fuzz_target-IDX2
18,afl,253,840,1315,1671,4004,1,bloaty_fuzz_target-IDX3
19,entropic,232,900,1315,2037,6004,2,bloaty_fuzz_target-IDX3
20,eclipser,228,780,1315,1846,9904,3,bloaty_fuzz_target-IDX3
21,libfuzzer,224,720,1315,2002,7904,4,bloaty_fuzz_target-IDX3
22,honggfuzz,223,780,1315,1902,4,5,bloaty_fuzz_target-IDX3
23,aflplusplus,187,780,1315,1521,2004,6,bloaty_fuzz_target-IDX3
24,entropic,91,660,1651,1606,6005,1,bloaty_fuzz_target-IDX4
25,honggfuzz,73,420,1651,1381,5,2,bloaty_fuzz_target-IDX4
26,afl,50,360,1651,1113,4005,3,bloaty_fuzz_target-IDX4
27,eclipser,49,840,1651,1424,9905,4,bloaty_fuzz_target-IDX4
28,aflplusplus,43,720,1651,1313,2005,5,bloaty_fuzz_target-IDX4
29,libfuzzer,42,120,1651,1242,7905,6,bloaty_fuzz_target-IDX4
30,honggfuzz,407,780,1799,1517,6,1,bloaty_fuzz_target-IDX5
31,entropic,394,660,1799,1478,6006,2,bloaty_fuzz_target-IDX5
32,libfuzzer,341,780,1799,1416,7906,3,bloaty_fuzz_target-IDX5
33,aflplusplus,333,900,1799,1334,2006,4,bloaty_fuzz_target-IDX5
34,eclipser,237,600,1799,1143,9906,5,bloaty_fuzz_target-IDX5
35,afl,205,60,1799,925,4006,6,bloaty_fuzz_target-IDX5
36,libfuzzer,294,720,1582,1921,7907,1,bloaty_fuzz_target-IDX6
37,afl,288,900,1582,1664,4007,2,bloaty_fuzz_target-IDX6
38,eclipser,282,900,1582,1877,9907,3,bloaty_fuzz_target-IDX6
39,honggfuzz,279,900,1582,1908,7,4,bloaty_fuzz_target-IDX6
40,entropic,274,720,1582,2027,6007,5,bloaty_fuzz_target-IDX6
41,aflplusplus,221,60,1582,1546,2007,6,bloaty_fuzz_target-IDX6
42,afl,1181,780,1392,3570,4008,1,bloaty_fuzz_target-IDX7
43,honggfuzz,94,780,1392,1558,8,2,bloaty_fuzz_target-IDX7
44,eclipser,72,540,1392,1436,9908,3,bloaty_fuzz_target-IDX7
45,aflplusplus,72,840,1392,1355,2008,4,bloaty_fuzz_target-IDX7
46,entropic,70,660,1392,1731,6008,5,bloaty_fuzz_target-IDX7
47,libfuzzer,47,420,1392,1598,7908,6,bloaty_fuzz_target-IDX7
48,honggfuzz,227,660,568,4268,9,1,bloaty_fuzz_target-IDX8
49,afl,193,540,568,4009,4009,2,bloaty_fuzz_target-IDX8
50,eclipser,189,360,568,3886,9909,3,bloaty_fuzz_target-IDX8
51,entropic,186,720,568,3909,6009,4,bloaty_fuzz_target-IDX8
52,libfuzzer,184,600,568,3999,7909,5,bloaty_fuzz_target-IDX8
53,aflplusplus,181,60,568,3645,2009,6,bloaty_fuzz_target-IDX8
54,honggfuzz,154,900,173,4803,10,1,bloaty_fuzz_target-IDX9
55,afl,136,600,173,4234,4010,2,bloaty_fuzz_target-IDX9
56,libfuzzer,135,540,173,4279,7910,3,bloaty_fuzz_target-IDX9
57,entropic,134,900,173,4349,6010,4,bloaty_fuzz_target-IDX9
58,eclipser,126,780,173,4280,9910,5,bloaty_fuzz_target-IDX9
59,aflplusplus,100,60,173,3749,2010,6,bloaty_fuzz_target-IDX9
60,honggfuzz,325,180,1653,1244,11,1,bloaty_fuzz_target-IDX10
61,entropic,287,240,1653,1418,6011,2,bloaty_fuzz_target-IDX10
62,libfuzzer,257,600,1653,1454,7911,3,bloaty_fuzz_target-IDX10
63,eclipser,252,720,1653,1345,9911,4,bloaty_fuzz_target-IDX10
64,afl,162,60,1653,1015,4011,5,bloaty_fuzz_target-IDX10
65,aflplusplus,57,840,1653,841,2011,6,bloaty_fuzz_target-IDX10
66,entropic,160,240,182,1562,6012,1,bloaty_fuzz_target-IDX11
67,honggfuzz,159,300,182,1612,12,2,bloaty_fuzz_target-IDX11
68,eclipser,138,180,182,1567,9912,3,bloaty_fuzz_target-IDX11
69,aflplusplus,129,480,182,1368,2012,4,bloaty_fuzz_target-IDX11
70,libfuzzer,118,780,182,1423,7912,5,bloaty_fuzz_target-IDX11
71,afl,106,180,182,1403,4012,6,bloaty_fuzz_target-IDX11
72,aflplusplus,113,780,1731,1311,2013,1,bloaty_fuzz_target-IDX12
73,afl,101,900,1731,1238,4013,2,bloaty_fuzz_target-IDX12
74,entropic,89,840,1731,1565,6013,3,bloaty_fuzz_target-IDX12
75,honggfuzz,83,840,1731,1457,13,4,bloaty_fuzz_target-IDX12
76,eclipser,82,840,1731,1449,9913,5,bloaty_fuzz_target-IDX12
77,libfuzzer,70,720,1731,1520,7913,6,bloaty_fuzz_target-IDX12
78,eclipser,1034,660,1378,4304,9914,1,bloaty_fuzz_target-IDX13
79,afl,166,660,1378,1332,4014,2,bloaty_fuzz_target-IDX13
80,entropic,148,900,1378,1722,6014,3,bloaty_fuzz_target-IDX13
81,honggfuzz,146,540,1378,1543,14,4,bloaty_fuzz_target-IDX13
82,libfuzzer,126,120,1378,1638,7914,5,bloaty_fuzz_target-IDX13
83,aflplusplus,69,60,1378,1173,2014,6,bloaty_fuzz_target-IDX13
84,entropic,446,900,597,4466,6015,1,bloaty_fuzz_target-IDX14
85,afl,443,900,597,4416,4015,2,bloaty_fuzz_target-IDX14
86,eclipser,433,720,597,4331,9915,3,bloaty_fuzz_target-IDX14
87,honggfuzz,385,840,597,3977,15,4,bloaty_fuzz_target-IDX14
88,aflplusplus,353,120,597,3780,2015,5,bloaty_fuzz_target-IDX14
89,libfuzzer,53,300,597,3027,7915,6,bloaty_fuzz_target-IDX14
90,afl,134,240,141,1727,4016,1,bloaty_fuzz_target-IDX15
91,honggfuzz,134,780,141,2019,16,2,bloaty_fuzz_target-IDX15
92,entropic,101,900,141,3715,6016,3,bloaty_fuzz_target-IDX15
93,libfuzzer,99,480,141,3558,7916,4,bloaty_fuzz_target-IDX15
94,eclipser,96,540,141,3314,9916,5,bloaty_fuzz_target-IDX15
95,aflplusplus,91,360,141,1606,2016,6,bloaty_fuzz_target-IDX15
96,honggfuzz,60,420,313,4112,17,1,bloaty_fuzz_target-IDX16
97,libfuzzer,60,600,313,4279,7917,2,bloaty_fuzz_target-IDX16
98,afl,29,540,313,3985,4017,3,bloaty_fuzz_target-IDX16
99,eclipser,29,720,313,4098,9917,4,bloaty_fuzz_target-IDX16
100,entropic,26,600,313,3921,6017,5,bloaty_fuzz_target-IDX16
101,aflplusplus,12,60,313,3534,2017,6,bloaty_fuzz_target-IDX16
102,honggfuzz,369,780,696,1693,18,1,bloaty_fuzz_target-IDX17
103,eclipser,326,480,696,1548,9918,2,bloaty_fuzz_target-IDX17
104,entropic,308,180,696,1476,6018,3,bloaty_fuzz_target-IDX17
105,libfuzzer,285,180,696,1452,7918,4,bloaty_fuzz_target-IDX17
106,afl,246,420,696,1244,4018,5,bloaty_fuzz_target-IDX17
107,aflplusplus,220,360,696,1207,2018,6,bloaty_fuzz_target-IDX17
108,honggfuzz,136,540,162,4573,19,1,bloaty_fuzz_target-IDX18
109,eclipser,107,480,162,4376,9919,2,bloaty_fuzz_target-IDX18
110,entropic,106,480,162,3973,6019,3,bloaty_fuzz_target-IDX18
111,afl,104,720,162,4126,4019,4,bloaty_fuzz_target-IDX18
112,libfuzzer,102,540,162,4195,7919,5,bloaty_fuzz_target-IDX18
113,aflplusplus,93,60,162,3796,2019,6,bloaty_fuzz_target-IDX18
114,honggfuzz,182,780,317,4592,20,1,bloaty_fuzz_target-IDX19
115,libfuzzer,170,780,317,4127,7920,2,bloaty_fuzz_target-IDX19
116,entropic,168,840,317,4174,6020,3,bloaty_fuzz_target-IDX19
117,eclipser,160,660,317,4419,9920,4,bloaty_fuzz_target-IDX19
118,afl,118,600,317,4241,4020,5,bloaty_fuzz_target-IDX19
119,aflplusplus,113,540,317,3993,2020,6,bloaty_fuzz_target-IDX19
