micro_benchmark,afl,aflplusplus,eclipser,entropic,honggfuzz,libfuzzer
jsoncpp_jsoncpp_fuzzer-IDX19,4,5,4,1,2,3
jsoncpp_jsoncpp_fuzzer-IDX21,5,3,4,1,4,2
jsoncpp_jsoncpp_fuzzer-IDX22,5,4,5,3,2,1
jsoncpp_jsoncpp_fuzzer-IDX26,4,3,3,1,5,2
jsoncpp_jsoncpp_fuzzer-IDX27,4,2,2,1,3,2
jsoncpp_jsoncpp_fuzzer-IDX28,3,4,3,5,2,1
jsoncpp_jsoncpp_fuzzer-IDX29,4,2,4,3,5,1
jsoncpp_jsoncpp_fuzzer-IDX31,1,5,3,2,1,4
jsoncpp_jsoncpp_fuzzer-IDX35,4,1,5,3,2,2
jsoncpp_jsoncpp_fuzzer-IDX4,2,2,1,3,4,5
jsoncpp_jsoncpp_fuzzer-IDX44,3,2,2,4,2,1
jsoncpp_jsoncpp_fuzzer-IDX46,3,3,3,4,1,2
jsoncpp_jsoncpp_fuzzer-IDX49,3,3,4,1,5,2
jsoncpp_jsoncpp_fuzzer-IDX50,4,3,4,2,5,1
jsoncpp_jsoncpp_fuzzer-IDX52,5,2,3,4,1,4
jsoncpp_jsoncpp_fuzzer-IDX61,3,3,4,1,2,1
jsoncpp_jsoncpp_fuzzer-IDX65,2,5,4,1,3,1
jsoncpp_jsoncpp_fuzzer-IDX67,3,1,1,1,4,2
jsoncpp_jsoncpp_fuzzer-IDX70,5,3,2,1,4,4
jsoncpp_jsoncpp_fuzzer-IDX74,3,2,3,4,5,1
jsoncpp_jsoncpp_fuzzer-IDX77,3,2,2,5,1,4
jsoncpp_jsoncpp_fuzzer-IDX82,2,3,2,1,5,4
jsoncpp_jsoncpp_fuzzer-IDX87,5,2,4,1,3,1
jsoncpp_jsoncpp_fuzzer-IDX88,3,4,3,1,4,2
jsoncpp_jsoncpp_fuzzer-IDX92,3,2,3,5,1,4
jsoncpp_jsoncpp_fuzzer-IDX95,4,5,3,2,3,1
jsoncpp_jsoncpp_fuzzer-IDX97,2,2,4,1,3,1
jsoncpp_jsoncpp_fuzzer-IDX99,4,1,5,2,3,1
libjpeg-turbo-07-2017-IDX18,2,1,2,5,4,3
openthread-2019-12-23-IDX40,5,1,4,2,3,2
openthread-2019-12-23-IDX43,3,1,3,4,5,2
systemd_fuzz-link-parser-IDX10,5,3,4,3,2,1
systemd_fuzz-link-parser-IDX39,4,3,4,2,1,2
systemd_fuzz-link-parser-IDX44,5,2,3,1,4,2
systemd_fuzz-link-parser-IDX46,4,3,2,5,1,1
systemd_fuzz-link-parser-IDX6,2,3,4,3,1,3
systemd_fuzz-link-parser-IDX67,4,5,4,2,1,3
systemd_fuzz-link-parser-IDX72,1,2,1,2,2,2
systemd_fuzz-link-parser-IDX73,5,2,5,4,1,3
systemd_fuzz-link-parser-IDX75,3,2,5,4,1,4
systemd_fuzz-link-parser-IDX79,4,5,3,2,1,2
