micro_benchmark,afl,aflplusplus,eclipser,entropic,honggfuzz,libfuzzer
bloaty_fuzz_target-IDX0,3,6,1,4,2,5
bloaty_fuzz_target-IDX1,4,6,5,2,1,3
bloaty_fuzz_target-IDX10,3,6,4,2,1,5
bloaty_fuzz_target-IDX11,3,6,4,2,1,5
bloaty_fuzz_target-IDX12,1,6,2,5,3,4
bloaty_fuzz_target-IDX13,3,5,2,4,1,6
bloaty_fuzz_target-IDX14,5,6,1,4,2,3
bloaty_fuzz_target-IDX15,1,6,2,4,5,3
bloaty_fuzz_target-IDX16,1,6,2,3,5,4
bloaty_fuzz_target-IDX17,5,6,4,1,2,3
bloaty_fuzz_target-IDX18,3,6,5,2,1,4
bloaty_fuzz_target-IDX19,2,3,6,4,1,5
bloaty_fuzz_target-IDX2,2,6,1,3,5,4
bloaty_fuzz_target-IDX20,5,6,2,4,1,3
bloaty_fuzz_target-IDX21,3,6,2,4,1,5
bloaty_fuzz_target-IDX22,3,5,2,6,1,4
bloaty_fuzz_target-IDX23,4,6,3,5,2,1
bloaty_fuzz_target-IDX24,2,6,3,4,1,5
bloaty_fuzz_target-IDX25,2,5,1,4,3,6
bloaty_fuzz_target-IDX26,5,6,4,2,1,3
bloaty_fuzz_target-IDX27,1,5,3,6,2,4
bloaty_fuzz_target-IDX28,6,4,2,3,1,5
bloaty_fuzz_target-IDX29,4,6,3,1,5,2
bloaty_fuzz_target-IDX3,2,5,3,1,4,6
bloaty_fuzz_target-IDX30,4,5,3,2,1,6
bloaty_fuzz_target-IDX31,2,5,1,3,4,6
bloaty_fuzz_target-IDX32,2,6,1,5,3,4
bloaty_fuzz_target-IDX33,1,5,2,3,4,6
bloaty_fuzz_target-IDX34,4,6,5,1,3,2
bloaty_fuzz_target-IDX35,4,1,2,5,3,6
bloaty_fuzz_target-IDX36,4,5,2,1,3,6
bloaty_fuzz_target-IDX37,4,6,2,5,1,3
bloaty_fuzz_target-IDX38,1,6,4,3,2,5
bloaty_fuzz_target-IDX39,2,6,3,5,1,4
bloaty_fuzz_target-IDX4,2,6,4,1,3,5
bloaty_fuzz_target-IDX40,3,5,2,1,4,6
bloaty_fuzz_target-IDX41,3,6,4,5,2,1
bloaty_fuzz_target-IDX42,5,6,4,2,1,3
bloaty_fuzz_target-IDX43,1,5,4,2,3,6
bloaty_fuzz_target-IDX44,4,5,2,1,3,6
bloaty_fuzz_target-IDX45,6,4,3,2,1,5
bloaty_fuzz_target-IDX46,5,6,4,1,2,3
bloaty_fuzz_target-IDX47,5,3,4,2,1,6
bloaty_fuzz_target-IDX48,5,4,3,1,2,6
bloaty_fuzz_target-IDX49,5,6,4,1,2,3
bloaty_fuzz_target-IDX5,4,6,3,2,1,5
bloaty_fuzz_target-IDX50,5,6,4,1,3,2
bloaty_fuzz_target-IDX51,3,6,1,5,2,4
bloaty_fuzz_target-IDX52,5,6,2,4,1,3
bloaty_fuzz_target-IDX53,5,6,2,3,1,4
bloaty_fuzz_target-IDX54,2,6,4,3,1,5
bloaty_fuzz_target-IDX55,1,4,3,5,2,6
bloaty_fuzz_target-IDX56,2,4,1,3,6,5
bloaty_fuzz_target-IDX57,2,6,4,5,1,3
bloaty_fuzz_target-IDX58,1,3,2,4,5,6
bloaty_fuzz_target-IDX59,2,6,3,4,1,5
bloaty_fuzz_target-IDX6,6,3,4,1,5,2
bloaty_fuzz_target-IDX60,5,6,2,1,3,4
