micro_benchmark,afl,aflplusplus,eclipser,entropic,honggfuzz,libfuzzer
jsoncpp_jsoncpp_fuzzer-IDX1,2,5,2,1,4,3
jsoncpp_jsoncpp_fuzzer-IDX10,3,5,2,1,4,2
jsoncpp_jsoncpp_fuzzer-IDX12,5,2,4,2,3,1
jsoncpp_jsoncpp_fuzzer-IDX15,3,5,3,2,4,1
jsoncpp_jsoncpp_fuzzer-IDX16,3,4,5,1,4,2
jsoncpp_jsoncpp_fuzzer-IDX19,3,3,4,1,3,2
jsoncpp_jsoncpp_fuzzer-IDX2,2,4,3,1,5,1
jsoncpp_jsoncpp_fuzzer-IDX20,2,3,4,2,5,1
jsoncpp_jsoncpp_fuzzer-IDX21,5,4,3,1,1,2
jsoncpp_jsoncpp_fuzzer-IDX22,3,4,5,1,3,2
jsoncpp_jsoncpp_fuzzer-IDX23,3,3,4,1,5,2
jsoncpp_jsoncpp_fuzzer-IDX24,2,4,3,1,2,2
jsoncpp_jsoncpp_fuzzer-IDX25,2,4,2,1,2,3
jsoncpp_jsoncpp_fuzzer-IDX26,3,2,4,2,4,1
jsoncpp_jsoncpp_fuzzer-IDX27,5,3,4,1,4,2
jsoncpp_jsoncpp_fuzzer-IDX29,5,2,3,1,4,3
jsoncpp_jsoncpp_fuzzer-IDX3,3,3,3,2,4,1
jsoncpp_jsoncpp_fuzzer-IDX30,5,5,3,1,4,2
jsoncpp_jsoncpp_fuzzer-IDX32,3,3,4,2,1,3
jsoncpp_jsoncpp_fuzzer-IDX35,2,2,2,4,3,1
jsoncpp_jsoncpp_fuzzer-IDX36,2,2,4,1,5,3
jsoncpp_jsoncpp_fuzzer-IDX37,5,3,2,1,4,1
jsoncpp_jsoncpp_fuzzer-IDX42,2,5,4,3,4,1
jsoncpp_jsoncpp_fuzzer-IDX46,2,5,3,1,4,4
jsoncpp_jsoncpp_fuzzer-IDX49,5,5,4,2,3,1
jsoncpp_jsoncpp_fuzzer-IDX50,3,4,5,1,4,2
jsoncpp_jsoncpp_fuzzer-IDX51,3,3,4,2,5,1
jsoncpp_jsoncpp_fuzzer-IDX54,3,2,3,1,4,2
jsoncpp_jsoncpp_fuzzer-IDX55,3,2,4,3,3,1
jsoncpp_jsoncpp_fuzzer-IDX57,3,3,4,1,5,2
jsoncpp_jsoncpp_fuzzer-IDX58,3,4,5,2,2,1
jsoncpp_jsoncpp_fuzzer-IDX6,4,2,3,1,3,1
jsoncpp_jsoncpp_fuzzer-IDX60,5,3,2,3,4,1
jsoncpp_jsoncpp_fuzzer-IDX61,3,1,1,2,4,1
jsoncpp_jsoncpp_fuzzer-IDX62,5,4,3,2,5,1
jsoncpp_jsoncpp_fuzzer-IDX64,4,2,3,1,3,1
jsoncpp_jsoncpp_fuzzer-IDX66,3,2,3,2,4,1
jsoncpp_jsoncpp_fuzzer-IDX68,4,5,3,1,3,2
jsoncpp_jsoncpp_fuzzer-IDX69,5,3,5,2,4,1
jsoncpp_jsoncpp_fuzzer-IDX7,4,5,4,2,3,1
jsoncpp_jsoncpp_fuzzer-IDX70,5,3,4,2,4,1
jsoncpp_jsoncpp_fuzzer-IDX72,3,3,4,2,5,1
jsoncpp_jsoncpp_fuzzer-IDX75,4,3,4,1,4,2
jsoncpp_jsoncpp_fuzzer-IDX76,4,3,4,2,5,1
jsoncpp_jsoncpp_fuzzer-IDX77,3,5,3,1,4,2
jsoncpp_jsoncpp_fuzzer-IDX8,1,5,4,3,1,2
jsoncpp_jsoncpp_fuzzer-IDX80,1,1,4,3,3,2
jsoncpp_jsoncpp_fuzzer-IDX85,5,4,5,1,3,2
jsoncpp_jsoncpp_fuzzer-IDX87,3,3,4,2,2,1
jsoncpp_jsoncpp_fuzzer-IDX89,4,2,3,1,2,2
jsoncpp_jsoncpp_fuzzer-IDX9,5,2,4,1,4,3
jsoncpp_jsoncpp_fuzzer-IDX90,3,5,4,1,2,1
jsoncpp_jsoncpp_fuzzer-IDX94,4,5,2,1,2,3
jsoncpp_jsoncpp_fuzzer-IDX95,1,5,4,2,1,3
jsoncpp_jsoncpp_fuzzer-IDX99,3,5,4,1,2,3
libpng-1.2.56-IDX31,3,1,3,2,4,5
libpng-1.2.56-IDX44,3,1,3,4,2,5
libpng-1.2.56-IDX50,4,2,5,3,1,3
libpng-1.2.56-IDX9,5,1,4,2,2,3
libpng-1.2.56-IDX98,4,2,5,3,1,3
openssl_x509-IDX83,5,2,5,4,3,1
re2-2014-12-09-IDX21,4,3,5,5,2,1
re2-2014-12-09-IDX49,2,4,5,2,3,1
systemd_fuzz-link-parser-IDX11,1,2,3,2,2,2
systemd_fuzz-link-parser-IDX12,3,4,5,2,1,1
systemd_fuzz-link-parser-IDX14,1,2,3,4,3,5
systemd_fuzz-link-parser-IDX16,1,3,5,4,3,2
systemd_fuzz-link-parser-IDX17,3,1,2,4,1,2
systemd_fuzz-link-parser-IDX18,3,2,5,2,1,4
systemd_fuzz-link-parser-IDX2,3,5,2,4,1,5
systemd_fuzz-link-parser-IDX20,1,1,1,2,4,3
systemd_fuzz-link-parser-IDX23,1,3,3,5,4,2
systemd_fuzz-link-parser-IDX26,3,5,4,1,2,2
systemd_fuzz-link-parser-IDX30,2,1,3,4,5,3
systemd_fuzz-link-parser-IDX31,2,3,5,3,1,4
systemd_fuzz-link-parser-IDX32,1,2,1,2,2,2
systemd_fuzz-link-parser-IDX33,2,5,1,2,4,3
systemd_fuzz-link-parser-IDX34,1,2,2,3,4,5
systemd_fuzz-link-parser-IDX44,3,2,2,2,4,1
systemd_fuzz-link-parser-IDX5,2,1,3,2,5,4
systemd_fuzz-link-parser-IDX50,1,5,2,4,3,4
systemd_fuzz-link-parser-IDX53,3,2,1,3,4,5
systemd_fuzz-link-parser-IDX55,1,5,3,3,4,2
systemd_fuzz-link-parser-IDX56,2,3,2,1,1,1
systemd_fuzz-link-parser-IDX58,2,4,5,2,3,1
systemd_fuzz-link-parser-IDX6,5,3,2,4,4,1
systemd_fuzz-link-parser-IDX60,2,1,2,3,4,3
systemd_fuzz-link-parser-IDX62,1,3,2,5,4,1
systemd_fuzz-link-parser-IDX70,1,5,2,4,3,4
systemd_fuzz-link-parser-IDX71,2,5,1,4,3,2
systemd_fuzz-link-parser-IDX75,4,2,5,3,1,3
systemd_fuzz-link-parser-IDX77,5,2,3,1,2,4
systemd_fuzz-link-parser-IDX80,4,5,3,5,1,2
systemd_fuzz-link-parser-IDX87,1,3,4,2,5,2
systemd_fuzz-link-parser-IDX89,5,1,5,4,2,3
systemd_fuzz-link-parser-IDX90,2,4,3,3,1,5
systemd_fuzz-link-parser-IDX92,1,4,3,2,2,2
systemd_fuzz-link-parser-IDX93,1,4,5,3,3,2
systemd_fuzz-link-parser-IDX94,5,3,5,1,2,4
systemd_fuzz-link-parser-IDX95,1,3,2,3,3,4
systemd_fuzz-link-parser-IDX97,4,1,2,3,3,3
vorbis-2017-12-11-IDX18,3,1,4,2,5,2
vorbis-2017-12-11-IDX2,3,1,4,5,2,5
vorbis-2017-12-11-IDX33,5,3,5,1,4,2
vorbis-2017-12-11-IDX47,4,3,5,2,1,4
vorbis-2017-12-11-IDX79,4,2,3,1,5,5
vorbis-2017-12-11-IDX94,2,3,3,1,4,5
