,benchmark,target,cnt
4,jsoncpp_jsoncpp_fuzzer,"[1, 2, 3, 3, 4, 4, 6, 6, 7, 7, 8, 9, 9, 9, 9, 10, 10, 10, 11, 11, 11, 11, 13, 15, 16, 16, 17, 18, 21, 23, 24, 25, 26, 26, 27, 28, 29, 31, 31, 33, 34, 34, 37, 38, 38, 38, 40, 42, 42, 42, 43, 44, 47, 50, 53, 55, 56, 57, 61, 67, 73, 74]",62
16,re2-2014-12-09,"[28, 32, 39, 47, 49, 55, 62, 76, 77, 82, 83, 103, 104, 107, 118, 119, 120, 125, 142, 154, 167, 167, 175, 187, 188, 189, 193, 213, 221, 229, 238, 265, 286, 329, 352, 418, 650, 657, 685, 710, 744]",41
13,openthread-2019-12-23,"[2, 4, 5, 7, 8, 11, 18, 19, 22, 26, 33, 34, 39, 46, 49, 62, 64, 66, 81, 91, 223, 224, 229, 239]",24
8,libpng-1.2.56,"[3, 10, 10, 10, 12, 12, 13, 14, 15, 19, 20, 26, 26, 26, 27, 27, 33, 37, 39, 43, 85, 94]",22
19,vorbis-2017-12-11,"[2, 3, 7, 13, 18, 22, 22, 23, 24, 24, 25, 31, 31, 32, 33, 34, 34, 41, 42]",19
17,sqlite3_ossfuzz,"[18, 19, 33, 37, 54, 54, 54, 63, 68, 77, 83, 87, 88, 99, 102, 107, 119]",17
6,libjpeg-turbo-07-2017,"[6, 7, 8, 8, 8, 9, 9, 9, 11, 11, 16, 17, 18, 21, 22]",15
11,mbedtls_fuzz_dtlsclient,"[2, 5, 5, 7, 8, 10, 14, 23, 35, 36, 48, 51, 52]",13
10,libxslt_xpath,"[28, 66, 66, 79, 85, 91, 98, 110, 110, 115, 129, 160, 353]",13
9,libxml2-v2.9.2,"[12, 20, 31, 48, 98, 106, 125, 161, 178, 187, 287]",11
18,systemd_fuzz-link-parser,"[1, 1, 2, 2, 3, 12, 13, 17, 29, 40]",10
15,proj4-2017-08-14,"[4, 7, 12, 13, 24, 29, 31]",7
12,openssl_x509,"[10, 21, 23, 44, 47]",5
5,lcms-2017-03-21,"[2, 5, 10, 11, 11]",5
0,bloaty_fuzz_target,"[1, 11, 15, 19, 20]",5
7,libpcap_fuzz_both,"[7, 25, 29, 49]",4
3,harfbuzz-1.3.2,"[127, 180, 203, 238]",4
1,curl_curl_fuzzer_http,"[3, 4]",2
14,php_php-fuzz-parser,[222],1
2,freetype2-2017,[4],1
